"","iter","estimate","priorSD","grouping","bayestype","parameter","est.type","priortype","type"
"307","1",-4.5163,"6","G2","post","b0","coef","uninformative","bayes.est"
"308","1",0.0914,"6","G2","post","b1","coef","uninformative","bayes.est"
"309","1",0.0243,"6","G3","post","b0","bias","uninformative","bayes.est"
"310","1",0.0267,"6","G3","post","b1","bias","uninformative","bayes.est"
"311","1",-6.0774,"6","G3","post","b0","coef","uninformative","bayes.est"
"312","1",0.1642,"6","G3","post","b1","coef","uninformative","bayes.est"
"313","1",0.0384,"6","G4","post","b0","bias","uninformative","bayes.est"
"314","1",0.0482,"6","G4","post","b1","bias","uninformative","bayes.est"
"315","1",-4.8633,"6","G4","post","b0","coef","uninformative","bayes.est"
"316","1",0.0971,"6","G4","post","b1","coef","uninformative","bayes.est"
"317","1",-0.0091,"6","pi","post","pi","bias","uninformative","bayes.est"
"318","1",0.7156,"6","pi","post","pi","coef","uninformative","bayes.est"
"319","1",-10.7852,"6",NA,"prior","b0","coef","uninformative","bayes.est"
"320","1",0.2261,"6",NA,"prior","b1","coef","uninformative","bayes.est"
"321","1",0.0132,"7","G1","post","b0","bias","uninformative","bayes.est"
"322","1",0.0142,"7","G1","post","b1","bias","uninformative","bayes.est"
"323","1",-3.3157,"7","G1","post","b0","coef","uninformative","bayes.est"
"324","1",0.0923,"7","G1","post","b1","coef","uninformative","bayes.est"
"325","1",0.0054,"7","G2","post","b0","bias","uninformative","bayes.est"
"326","1",1e-04,"7","G2","post","b1","bias","uninformative","bayes.est"
"327","1",-4.4963,"7","G2","post","b0","coef","uninformative","bayes.est"
"328","1",0.0905,"7","G2","post","b1","coef","uninformative","bayes.est"
"329","1",0.0143,"7","G3","post","b0","bias","uninformative","bayes.est"
"330","1",0.0119,"7","G3","post","b1","bias","uninformative","bayes.est"
"331","1",-6.0179,"7","G3","post","b0","coef","uninformative","bayes.est"
"332","1",0.1619,"7","G3","post","b1","coef","uninformative","bayes.est"
"333","1",0.0256,"7","G4","post","b0","bias","uninformative","bayes.est"
"334","1",0.0241,"7","G4","post","b1","bias","uninformative","bayes.est"
"335","1",-4.8035,"7","G4","post","b0","coef","uninformative","bayes.est"
"336","1",0.0949,"7","G4","post","b1","coef","uninformative","bayes.est"
"337","1",-0.0091,"7","pi","post","pi","bias","uninformative","bayes.est"
"338","1",0.7156,"7","pi","post","pi","coef","uninformative","bayes.est"
"339","1",-5.3004,"7",NA,"prior","b0","coef","uninformative","bayes.est"
"340","1",0.1228,"7",NA,"prior","b1","coef","uninformative","bayes.est"
"341","1",0.0138,"8","G1","post","b0","bias","uninformative","bayes.est"
"342","1",0.0151,"8","G1","post","b1","bias","uninformative","bayes.est"
"343","1",-3.3178,"8","G1","post","b0","coef","uninformative","bayes.est"
"344","1",0.0923,"8","G1","post","b1","coef","uninformative","bayes.est"
"345","1",0.0067,"8","G2","post","b0","bias","uninformative","bayes.est"
"346","1",0.004,"8","G2","post","b1","bias","uninformative","bayes.est"
"347","1",-4.502,"8","G2","post","b0","coef","uninformative","bayes.est"
"348","1",0.0909,"8","G2","post","b1","coef","uninformative","bayes.est"
"349","1",0.0151,"8","G3","post","b0","bias","uninformative","bayes.est"
"350","1",0.014,"8","G3","post","b1","bias","uninformative","bayes.est"
"351","1",-6.0227,"8","G3","post","b0","coef","uninformative","bayes.est"
"352","1",0.1622,"8","G3","post","b1","coef","uninformative","bayes.est"
"353","1",0.0309,"8","G4","post","b0","bias","uninformative","bayes.est"
"354","1",0.0356,"8","G4","post","b1","bias","uninformative","bayes.est"
"355","1",-4.8282,"8","G4","post","b0","coef","uninformative","bayes.est"
"356","1",0.096,"8","G4","post","b1","coef","uninformative","bayes.est"
"357","1",-0.009,"8","pi","post","pi","bias","uninformative","bayes.est"
"358","1",0.7156,"8","pi","post","pi","coef","uninformative","bayes.est"
"359","1",-8.5528,"8",NA,"prior","b0","coef","uninformative","bayes.est"
"360","1",0.3299,"8",NA,"prior","b1","coef","uninformative","bayes.est"
"361","1",0.0129,"9","G1","post","b0","bias","uninformative","bayes.est"
"362","1",0.0117,"9","G1","post","b1","bias","uninformative","bayes.est"
"363","1",-3.315,"9","G1","post","b0","coef","uninformative","bayes.est"
"364","1",0.092,"9","G1","post","b1","coef","uninformative","bayes.est"
"365","1",0.0058,"9","G2","post","b0","bias","uninformative","bayes.est"
"366","1",-0.0014,"9","G2","post","b1","bias","uninformative","bayes.est"
"367","1",-4.4981,"9","G2","post","b0","coef","uninformative","bayes.est"
"368","1",0.0904,"9","G2","post","b1","coef","uninformative","bayes.est"
"369","1",0.0161,"9","G3","post","b0","bias","uninformative","bayes.est"
"370","1",0.0133,"9","G3","post","b1","bias","uninformative","bayes.est"
"371","1",-6.0288,"9","G3","post","b0","coef","uninformative","bayes.est"
"372","1",0.1621,"9","G3","post","b1","coef","uninformative","bayes.est"
"373","1",0.0278,"9","G4","post","b0","bias","uninformative","bayes.est"
"374","1",0.0293,"9","G4","post","b1","bias","uninformative","bayes.est"
"375","1",-4.8135,"9","G4","post","b0","coef","uninformative","bayes.est"
"376","1",0.0954,"9","G4","post","b1","coef","uninformative","bayes.est"
"377","1",-0.009,"9","pi","post","pi","bias","uninformative","bayes.est"
"378","1",0.7156,"9","pi","post","pi","coef","uninformative","bayes.est"
"379","1",-6.5709,"9",NA,"prior","b0","coef","uninformative","bayes.est"
